Sector,Sub-Sector,Use,Province,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Buildings,Residential,End use Combustion of Energy Carriers,Newfoundland,726,691,714,711,650,626,592,622,527,486,465,504,570,530,479,361,359,519,561,461,427,500,395,316,380,306,353,447,440,420,369,277,249,228
Buildings,Commercial,End use Combustion of Energy Carriers,Newfoundland,320,311,301,325,339,318,308,361,301,313,311,355,387,432,386,358,289,335,291,205,259,262,203,544,630,598,571,487,316,352,312,282,314,317
Non Energy Ind,Non Energy Ind,End use Combustion of Energy Carriers,Newfoundland,1723,1229,1121,1067,1381,1382,1384,1556,1309,1048,1288,1091,1062,1262,1307,1439,1169,1120,1127,1084,1055,982,940,883,935,967,494,554,794,914,818,947,931,827
Energy Sector,Oil and Gas,Production of Energy Carriers,Newfoundland,1073,1041,874,1057,473,968,1135,1301,3408,2691,1836,1711,3381,2877,2625,2493,2816,2950,2518,2571,2459,2164,2149,2302,2408,2352,2605,2479,2693,2754,1698,1360,1283,1265
Energy Sector,Electricity,Production of Energy Carriers,Newfoundland,1640,1300,1503,1364,726,1275,1185,1242,1050,827,821,1710,1897,1587,1288,822,644,1044,924,824,738,790,768,867,1205,1339,1522,1528,1126,1139,951,646,685,680
Ind Processes,Ind Processes,Non-Energy Emissions,Newfoundland,98,80,85,94,97,115,115,135,141,152,149,140,129,204,322,154,130,133,141,170,217,252,208,214,194,188,200,231,241,213,228,218,198,196
Agric,Agric,Non-Energy Emissions,Newfoundland,51,51,52,50,51,52,50,50,59,51,64,55,55,79,67,64,70,70,72,74,89,107,135,96,93,84,86,81,81,82,81,80,79,82
Waste,Waste,Non-Energy Emissions,Newfoundland,601,614,628,641,654,664,667,660,652,647,644,643,642,639,635,632,636,641,643,562,559,559,579,583,591,593,607,606,607,601,604,576,579,572
Transport,Road,End use Combustion of Energy Carriers,Nova-Scotia,3009,2876,2976,3081,3130,3267,3242,3259,3325,3505,3452,3397,3498,3737,3622,3603,3568,3473,3541,3443,3460,3918,3808,3470,3274,3803,3776,3880,3991,3904,3433,3653,3710,3829
Transport,Off Road,End use Combustion of Energy Carriers,Nova-Scotia,903,778,788,810,867,839,758,830,850,981,1031,1040,1075,1067,1193,1149,1040,991,920,780,993,1000,849,821,636,671,690,822,862,803,710,727,706,717
Transport,Marine,End use Combustion of Energy Carriers,Nova-Scotia,482,483,484,485,486,488,495,502,509,517,523,532,540,550,559,568,567,567,566,565,565,518,471,424,377,331,308,317,387,353,279,279,330,404
Transport,Rail,End use Combustion of Energy Carriers,Nova-Scotia,58,53,49,47,85,71,72,51,55,46,51,52,50,52,53,63,53,47,56,53,56,59,38,41,42,44,46,51,43,35,26,28,32,37
Transport,Air,End use Combustion of Energy Carriers,Nova-Scotia,299,273,276,263,279,283,274,280,296,327,324,278,264,278,283,277,273,263,250,236,238,232,262,271,264,269,266,278,302,295,127,137,252,275
Buildings,Residential,End use Combustion of Energy Carriers,Nova-Scotia,2106,1856,1976,1990,1848,1597,1711,1815,1678,1681,1753,1855,1878,2039,1468,1330,1406,1671,1674,1719,1707,1926,1676,1494,1356,1382,1137,1171,1292,1288,1199,1088,1131,945
Buildings,Commercial,End use Combustion of Energy Carriers,Nova-Scotia,808,793,947,789,737,815,822,969,788,916,934,1027,975,1119,1403,x,1012,1106,912,809,781,910,646,614,537,652,539,587,566,571,553,565,609,607
